,const,TELENOW_1,TELENOW_2,TELECOVID_1,TELECOVID_2,TELE2019_1,TELE2019_2,HRYEAR4,rank_16,rank_25,rank_100,PEHRUSLT
749,1.0,0,0,0,0,0,0,2019,0,1,0,40
752,1.0,0,0,0,0,0,0,2019,0,1,0,60
754,1.0,0,0,0,0,0,0,2019,0,1,0,40
755,1.0,0,0,0,0,0,0,2019,1,0,0,40
756,1.0,0,0,0,0,0,0,2019,0,1,0,48
757,1.0,0,0,0,0,0,0,2019,0,1,0,50
759,1.0,0,0,0,0,0,0,2019,0,1,0,32
760,1.0,0,0,0,0,0,0,2019,0,1,0,40
761,1.0,0,0,0,0,0,0,2019,0,1,0,40
762,1.0,0,0,0,0,0,0,2019,0,1,0,48
763,1.0,0,0,0,0,0,0,2019,0,1,0,40
764,1.0,0,0,0,0,0,0,2019,0,1,0,40
767,1.0,0,0,0,0,0,0,2019,0,1,0,40
770,1.0,0,0,0,0,0,0,2019,0,1,0,20
771,1.0,0,0,0,0,0,0,2019,0,1,0,40
772,1.0,0,0,0,0,0,0,2019,0,1,0,40
773,1.0,0,0,0,0,0,0,2019,0,1,0,40
774,1.0,0,0,0,0,0,0,2019,0,1,0,40
777,1.0,0,0,0,0,0,0,2019,0,1,0,40
778,1.0,0,0,0,0,0,0,2019,0,1,0,40
779,1.0,0,0,0,0,0,0,2019,0,1,0,40
783,1.0,0,0,0,0,0,0,2019,0,1,0,65
784,1.0,0,0,0,0,0,0,2019,0,1,0,60
786,1.0,0,0,0,0,0,0,2019,0,1,0,48
787,1.0,0,0,0,0,0,0,2019,0,1,0,40
790,1.0,0,0,0,0,0,0,2019,0,1,0,40
791,1.0,0,0,0,0,0,0,2019,0,1,0,40
792,1.0,0,0,0,0,0,0,2019,0,1,0,40
793,1.0,0,0,0,0,0,0,2019,0,1,0,40
794,1.0,0,0,0,0,0,0,2019,0,0,1,40
795,1.0,0,0,0,0,0,0,2019,0,1,0,40
797,1.0,0,0,0,0,0,0,2019,0,1,0,50
798,1.0,0,0,0,0,0,0,2019,0,1,0,35
801,1.0,0,0,0,0,0,0,2019,0,1,0,40
806,1.0,0,0,0,0,0,0,2019,0,1,0,45
811,1.0,0,0,0,0,0,0,2019,0,1,0,40
812,1.0,0,0,0,0,0,0,2019,0,1,0,30
